perfect_labeler,radiologist,algorithm
cancer,cancer,0.99
cancer,cancer,0.94
cancer,cancer,0.73
cancer,cancer,0.82
cancer,cancer,0.98
cancer,cancer,0.63
cancer,cancer,0.42
cancer,cancer,0.99
cancer,cancer,0.92
cancer,cancer,0.45
cancer,cancer,0.96
cancer,cancer,0.99
cancer,cancer,0.89
cancer,cancer,0.9
cancer,cancer,0.88
cancer,cancer,0.55
cancer,cancer,0.48
cancer,cancer,0.77
cancer,cancer,0.67
cancer,cancer,0.37
cancer,cancer,0.21
cancer,cancer,0.99
cancer,cancer,0.95
cancer,cancer,0.93
cancer,cancer,0.34
cancer,benign,0.67
cancer,benign,0.45
cancer,benign,0.37
cancer,benign,0.96
benign,benign,0.49
benign,benign,0.48
benign,benign,0.47
benign,benign,0.46
benign,benign,0.33
benign,benign,0.33
benign,benign,0.33
benign,benign,0.42
benign,benign,0.41
benign,benign,0.4
benign,benign,0.39
benign,benign,0.01
benign,benign,0.01
benign,benign,0.03
benign,benign,0.05
benign,benign,0.1
benign,benign,0.1
benign,benign,0.11
benign,benign,0.01
benign,benign,0.3
benign,benign,0.76
benign,benign,0.54
benign,benign,0.27
benign,benign,0.09
benign,benign,0.09
benign,benign,0.09
benign,benign,0.23
benign,benign,0.22
benign,benign,0.21
benign,benign,0.2
benign,benign,0.19
benign,benign,0.18
benign,benign,0.17
benign,benign,0.08
benign,benign,0.06
benign,benign,0.01
benign,benign,0.01
benign,benign,0.01
benign,benign,0.01
benign,benign,0.1
benign,benign,0.09
benign,benign,0.08
benign,benign,0.07
benign,benign,0.06
benign,benign,0.05
benign,benign,0.04
benign,benign,0.03
benign,benign,0.02
benign,benign,0.01
benign,benign,0
benign,benign,0
benign,benign,0
benign,benign,0
benign,benign,0
benign,benign,0.11
benign,benign,0.22
benign,benign,0.21
benign,benign,0.2
benign,benign,0.19
benign,benign,0.18
benign,benign,0.17
benign,benign,0.08
benign,benign,0.06
benign,benign,0.01
benign,benign,0.01
benign,benign,0.01
benign,benign,0.01
benign,benign,0.1
benign,benign,0.09
benign,benign,0.9
benign,benign,0.55
benign,benign,0.06
benign,benign,0.05
benign,benign,0.04
benign,benign,0.03
benign,benign,0.02
benign,benign,0.01
benign,benign,0.22
benign,benign,0.21
benign,benign,0.2
benign,benign,0.19
benign,benign,0.18
benign,benign,0.01
benign,benign,0
benign,benign,0.01
benign,benign,0.2
benign,benign,0.01
benign,benign,0.01
benign,benign,0.01
benign,benign,0.1
benign,benign,0.09
benign,benign,0.44
benign,benign,0.36
benign,benign,0.06
benign,benign,0.05
benign,benign,0.04
benign,benign,0.03
benign,benign,0.02
benign,benign,0.01
benign,benign,0.22
benign,benign,0.21
benign,benign,0.2
benign,benign,0.19
benign,benign,0.18
benign,benign,0.5
benign,benign,0.08
benign,benign,0.06
benign,benign,0.01
benign,benign,0.01
benign,cancer,0.01
benign,cancer,0.57
benign,cancer,0.1
benign,cancer,0.09
benign,cancer,0.08
benign,cancer,0.66
benign,cancer,0.06
benign,cancer,0.98
benign,cancer,0.77
benign,cancer,0.03
benign,cancer,0.02